% op straat op intimiderende wijze:  - Subwijken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oog in Al, Welgelegen;Lombok, Leidseweg;Nieuw Engeland, Schepenbrt;Pijlsweerd;Ondiep, 2e Daalsebrt;Zuilen-west;Zuilen-noord en -oost;Taagdreef, Wolgadreef;Zamenhofdreef, Neckardreef;Vechtzoom, Klopvaart;Zambesidreef, Tigrisdreef;Votulast;Tuindorp, Voordorp;Wittevrouwen, Zeeheldenbrt;Oudwijk, Buiten Wittevrouwen;Abstede, Gansstraat;Wilhelminapark, Rijnsweerd;Binnenstad city- en winkelgeb;Binnenstad woongebied;Lunetten;Oud Hoograven, Tolsteeg;Nieuw Hoograven, Bokkenbrt;Dichterswijk, Rivierenwijk;Transwijk;Kanaleneiland;Terwijde, De Wetering;Het Zand;Leidsche Rijn Centrum e.o;Parkwijk, Langerak;Leidsche Rijn-zuid;Vleuten, Haarzuilens;Veldhuizen, Vleuterweide;De Meern;Rijnenburg;onbekend
nagestaard [2019];18%;24%;24%;22%;24%;20%;19%;17%;20%;11%;18%;19%;14%;23%;21%;22%;26%;29%;24%;21%;23%;17%;18%;25%;21%;15%;10%;19%;14%;.;9%;13%;10%;.;.
nagestaard [2021];17%;28%;20%;22%;23%;27%;21%;23%;17%;18%;15%;21%;17%;21%;25%;22%;25%;29%;19%;19%;24%;13%;21%;20%;20%;16%;12%;19%;17%;.;10%;13%;8%;.;.
nagestaard [2023];20%;28%;25%;35%;30%;27%;20%;21%;23%;15%;15%;23%;15%;21%;26%;24%;28%;35%;29%;19%;24%;23%;24%;24%;24%;15%;16%;18%;13%;.;9%;13%;10%;.;
nagestaard [2025];24%;36%;31%;33%;27%;25%;27%;27%;28%;24%;18%;22%;18%;20%;28%;30%;29%;44%;32%;21%;27%;22%;24%;28%;27%;22%;20%;23%;15%;.;15%;13%;16%;.;
nagefloten [2019];11%;19%;14%;19%;18%;14%;9%;8%;9%;10%;8%;14%;11%;12%;13%;16%;15%;15%;18%;12%;12%;12%;14%;11%;11%;12%;4%;10%;7%;.;5%;12%;4%;.;.
nagefloten [2021];9%;18%;15%;15%;14%;15%;11%;13%;7%;9%;7%;12%;12%;15%;16%;14%;15%;19%;13%;13%;14%;6%;12%;14%;11%;8%;7%;10%;8%;.;6%;5%;3%;.;.
nagefloten [2023];14%;16%;17%;18%;17%;15%;12%;7%;8%;9%;6%;14%;9%;11%;14%;13%;13%;15%;14%;10%;14%;6%;14%;13%;14%;5%;7%;9%;6%;.;6%;7%;4%;.;
nagefloten [2025];11%;21%;18%;18%;15%;15%;10%;13%;11%;9%;10%;15%;11%;14%;16%;18%;17%;20%;16%;8%;13%;12%;13%;12%;15%;11%;10%;10%;5%;.;6%;7%;5%;.;
nageroepen met beledigende opmerkingen [2019];9%;25%;14%;18%;16%;14%;16%;15%;14%;14%;11%;12%;11%;15%;14%;17%;17%;17%;18%;14%;17%;8%;13%;14%;16%;11%;11%;17%;11%;.;8%;13%;6%;.;.
nageroepen met beledigende opmerkingen [2021];8%;18%;22%;16%;17%;19%;19%;20%;16%;15%;13%;17%;11%;14%;19%;12%;14%;16%;17%;13%;17%;12%;13%;15%;15%;11%;15%;12%;8%;.;11%;10%;12%;.;.
nageroepen met beledigende opmerkingen [2023];15%;17%;23%;17%;16%;13%;18%;15%;23%;12%;17%;16%;11%;12%;16%;20%;16%;24%;19%;18%;18%;16%;16%;15%;16%;14%;12%;15%;12%;.;9%;13%;8%;.;
nageroepen met beledigende opmerkingen [2025];19%;27%;18%;22%;22%;18%;26%;17%;20%;22%;16%;15%;12%;9%;21%;15%;21%;30%;23%;16%;21%;21%;18%;18%;20%;19%;16%;15%;14%;.;14%;18%;15%;.;
