% op straat op intimiderende wijze:  - Wijken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;nagefloten [2019];nagefloten [2021];nagefloten [2023];nagefloten [2025];nagestaard [2019];nagestaard [2021];nagestaard [2023];nagestaard [2025];nageroepen met beledigende opmerkingen [2019];nageroepen met beledigende opmerkingen [2021];nageroepen met beledigende opmerkingen [2023];nageroepen met beledigende opmerkingen [2025];nageroepen met seksuele opmerkingen [2019];nageroepen met seksuele opmerkingen [2021];nageroepen met seksuele opmerkingen [2023];nageroepen met seksuele opmerkingen [2025];nagesist [2019];nagesist [2021];nagesist [2023];nagesist [2025];bespuugd [2019];bespuugd [2021];bespuugd [2023];bespuugd [2025];in het nauw gedreven [2019];in het nauw gedreven [2021];in het nauw gedreven [2023];in het nauw gedreven [2025];om seks gevraagd [2019];om seks gevraagd [2021];om seks gevraagd [2023];om seks gevraagd [2025];betast [2019];betast [2021];betast [2023];betast [2025];achternagelopen [2019];achternagelopen [2021];achternagelopen [2023];achternagelopen [2025];niet lastiggevallen [2019];niet lastiggevallen [2021];niet lastiggevallen [2023];niet lastiggevallen [2025];wil dat liever niet zeggen [2019];wil dat liever niet zeggen [2021];wil dat liever niet zeggen [2023]
West;15%;15%;16%;17%;22%;23%;25%;31%;18%;16%;18%;22%;10%;12%;12%;14%;11%;9%;8%;13%;2%;1%;1%;7%;3%;3%;3%;3%;1%;1%;1%;2%;1%;0%;1%;1%;6%;8%;8%;10%;59%;62%;60%;51%;2%;4%;2%
Noordwest;14%;14%;16%;14%;21%;23%;27%;28%;16%;18%;16%;22%;11%;11%;11%;10%;9%;8%;8%;7%;2%;3%;3%;5%;2%;2%;2%;3%;1%;1%;1%;1%;1%;1%;1%;1%;5%;5%;7%;10%;59%;60%;56%;52%;4%;3%;4%
Overvecht;9%;9%;7%;11%;16%;19%;19%;25%;13%;16%;17%;19%;7%;7%;7%;10%;5%;7%;6%;7%;2%;3%;2%;5%;3%;3%;4%;4%;1%;1%;1%;1%;1%;1%;1%;1%;6%;7%;7%;9%;66%;62%;63%;54%;5%;7%;6%
Noordoost;12%;13%;11%;13%;18%;19%;19%;20%;13%;14%;13%;12%;9%;9%;9%;9%;6%;7%;6%;8%;1%;2%;2%;3%;2%;2%;2%;2%;1%;1%;1%;1%;0%;1%;1%;1%;5%;4%;8%;7%;68%;67%;67%;66%;1%;1%;1%
Oost;15%;15%;13%;17%;23%;24%;26%;29%;16%;15%;17%;19%;10%;12%;12%;14%;7%;8%;7%;8%;1%;2%;2%;2%;1%;2%;2%;2%;2%;1%;2%;1%;2%;0%;2%;1%;6%;7%;7%;8%;62%;63%;60%;58%;1%;2%;2%
Binnenstad;17%;15%;14%;18%;26%;22%;31%;36%;18%;17%;21%;25%;15%;8%;14%;18%;12%;10%;11%;13%;3%;4%;3%;6%;3%;3%;6%;5%;2%;2%;2%;3%;1%;2%;1%;1%;9%;9%;12%;18%;55%;60%;51%;48%;1%;1%;2%
Zuid;12%;12%;11%;11%;21%;19%;22%;23%;14%;14%;17%;19%;8%;8%;8%;9%;8%;7%;7%;7%;2%;2%;2%;3%;3%;2%;3%;3%;2%;0%;1%;1%;1%;1%;1%;1%;6%;6%;8%;9%;65%;65%;60%;58%;3%;4%;3%
Zuidwest;12%;12%;14%;14%;21%;20%;24%;26%;14%;14%;16%;19%;9%;10%;9%;9%;7%;6%;7%;9%;2%;2%;3%;4%;2%;2%;2%;3%;1%;1%;1%;1%;1%;1%;0%;2%;5%;5%;6%;7%;63%;63%;58%;54%;5%;4%;4%
Leidsche Rijn;8%;8%;6%;9%;14%;16%;15%;19%;12%;11%;13%;16%;5%;4%;4%;6%;5%;4%;3%;6%;1%;2%;2%;3%;2%;2%;2%;2%;0%;0%;1%;0%;1%;0%;0%;1%;2%;2%;4%;8%;72%;74%;72%;62%;2%;1%;3%
Vleuten-De Meern;8%;5%;6%;6%;11%;11%;11%;14%;10%;11%;11%;16%;3%;3%;5%;4%;4%;2%;3%;4%;1%;1%;1%;3%;1%;2%;2%;2%;0%;0%;0%;0%;0%;1%;0%;0%;3%;3%;4%;5%;76%;78%;74%;68%;2%;1%;3%
onbekend;.;.;;;.;.;;;.;.;;;.;.;;;.;.;;;.;.;;;.;.;;;.;.;;;.;.;;;.;.;;;.;.;;;.;.;
