%  - Subwijken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oog in Al, Welgelegen;Lombok, Leidseweg;Nieuw Engeland, Schepenbrt;Pijlsweerd;Ondiep, 2e Daalsebrt;Zuilen-west;Zuilen-noord en -oost;Taagdreef, Wolgadreef;Zamenhofdreef, Neckardreef;Vechtzoom, Klopvaart;Zambesidreef, Tigrisdreef;Votulast;Tuindorp, Voordorp;Wittevrouwen, Zeeheldenbrt;Oudwijk, Buiten Wittevrouwen;Abstede, Gansstraat;Wilhelminapark, Rijnsweerd;Binnenstad city- en winkelgeb;Binnenstad woongebied;Lunetten;Oud Hoograven, Tolsteeg;Nieuw Hoograven, Bokkenbrt;Dichterswijk, Rivierenwijk;Transwijk;Kanaleneiland;Terwijde, De Wetering;Het Zand;Leidsche Rijn Centrum e.o;Parkwijk, Langerak;Leidsche Rijn-zuid;Vleuten, Haarzuilens;Veldhuizen, Vleuterweide;De Meern;Rijnenburg;onbekend
% voelt zich wel eens onveilig algemeen [2008];37%;44%;38%;52%;44%;51%;58%;47%;53%;51%;51%;40%;35%;31%;35%;41%;34%;41%;40%;51%;38%;46%;43%;49%;52%;40%;40%;.;35%;.;26%;29%;30%;.;-
% voelt zich wel eens onveilig algemeen [2009];45%;48%;43%;52%;44%;52%;53%;55%;52%;51%;55%;48%;42%;39%;44%;46%;43%;50%;40%;49%;39%;50%;46%;50%;59%;35%;33%;.;39%;.;38%;33%;40%;.;-
% voelt zich wel eens onveilig algemeen [2010];47%;38%;54%;48%;41%;40%;50%;50%;46%;53%;45%;40%;33%;36%;25%;30%;40%;32%;31%;44%;33%;42%;36%;47%;44%;37%;29%;.;31%;.;28%;28%;31%;.;.
% voelt zich wel eens onveilig algemeen [2011];41%;43%;35%;36%;42%;34%;42%;47%;38%;50%;42%;41%;28%;31%;30%;36%;35%;38%;34%;42%;29%;47%;33%;51%;53%;42%;28%;.;32%;.;22%;22%;31%;.;-
% voelt zich wel eens onveilig algemeen [2013];51%;48%;44%;42%;44%;38%;47%;45%;43%;45%;55%;42%;36%;35%;29%;36%;34%;40%;34%;46%;26%;44%;39%;46%;52%;37%;34%;.;40%;.;27%;27%;31%;.;-
% voelt zich wel eens onveilig algemeen [2015];43%;47%;46%;44%;46%;43%;47%;58%;50%;48%;58%;36%;33%;32%;27%;34%;36%;35%;34%;44%;33%;44%;32%;53%;48%;38%;24%;.;31%;.;32%;29%;27%;.;
% voelt zich wel eens onveilig algemeen [2017];34%;49%;39%;47%;44%;41%;43%;57%;46%;42%;51%;35%;39%;28%;37%;36%;26%;33%;38%;49%;35%;47%;38%;47%;50%;27%;21%;.;33%;.;34%;30%;30%;.;
% voelt zich wel eens onveilig algemeen [2019];42%;54%;33%;38%;43%;42%;40%;51%;46%;48%;49%;34%;33%;36%;28%;35%;34%;41%;36%;55%;35%;44%;33%;52%;48%;39%;29%;38%;36%;.;27%;28%;35%;.;.
% voelt zich wel eens onveilig algemeen [2021];32%;50%;40%;34%;47%;32%;43%;48%;39%;52%;44%;30%;37%;29%;31%;33%;36%;39%;38%;50%;38%;40%;37%;39%;45%;31%;36%;33%;33%;.;27%;29%;33%;.;.
% voelt zich wel eens onveilig algemeen [2023];40%;50%;50%;47%;44%;41%;46%;53%;50%;47%;52%;36%;38%;34%;41%;36%;39%;49%;41%;52%;42%;48%;46%;46%;49%;40%;38%;39%;30%;.;35%;39%;34%;.;
% voelt zich wel eens onveilig algemeen [2025];44%;55%;45%;49%;52%;44%;49%;57%;57%;61%;58%;44%;38%;43%;46%;47%;53%;59%;54%;53%;44%;46%;46%;51%;52%;49%;49%;44%;40%;.;40%;41%;40%;.;
% voelt zich vaak onveilig algemeen [2007];1%;2%;2%;5%;2%;4%;9%;5%;10%;5%;7%;1%;1%;1%;1%;2%;0%;1%;1%;1%;1%;6%;2%;6%;12%;0%;.;-;4%;-;1%;2%;3%;-;-
% voelt zich vaak onveilig algemeen [2008];2%;3%;5%;5%;3%;4%;7%;5%;8%;8%;8%;2%;1%;1%;0%;0%;1%;2%;2%;3%;0%;5%;3%;5%;10%;3%;1%;.;1%;.;1%;2%;2%;.;-
% voelt zich vaak onveilig algemeen [2009];2%;2%;5%;5%;6%;6%;9%;8%;12%;5%;8%;2%;1%;2%;0%;2%;0%;2%;1%;1%;1%;6%;3%;7%;9%;1%;1%;.;3%;.;1%;1%;1%;.;-
% voelt zich vaak onveilig algemeen [2010];6%;4%;5%;2%;4%;4%;7%;6%;7%;5%;9%;3%;2%;0%;1%;1%;1%;2%;2%;2%;0%;6%;3%;6%;7%;5%;1%;.;2%;.;1%;3%;3%;.;.
% voelt zich vaak onveilig algemeen [2011];3%;3%;4%;5%;5%;1%;5%;7%;8%;10%;10%;1%;2%;3%;0%;3%;2%;2%;0%;3%;1%;5%;1%;6%;14%;5%;1%;.;3%;.;1%;2%;2%;.;-
% voelt zich vaak onveilig algemeen [2013];3%;7%;3%;2%;1%;5%;5%;4%;5%;8%;8%;2%;2%;2%;1%;4%;1%;7%;1%;5%;1%;7%;3%;3%;7%;7%;2%;.;3%;.;1%;1%;2%;.;-
% voelt zich vaak onveilig algemeen [2015];3%;5%;3%;3%;3%;4%;6%;5%;7%;10%;12%;2%;2%;1%;1%;1%;1%;2%;1%;3%;0%;5%;2%;6%;12%;3%;2%;.;2%;.;0%;2%;1%;.;
% voelt zich vaak onveilig algemeen [2017];2%;6%;2%;3%;5%;3%;6%;7%;9%;8%;9%;2%;1%;1%;1%;3%;1%;2%;1%;4%;2%;4%;2%;4%;10%;3%;1%;.;2%;.;5%;2%;2%;.;
% voelt zich vaak onveilig algemeen [2019];2%;4%;3%;2%;2%;4%;4%;8%;5%;9%;8%;3%;1%;2%;0%;0%;2%;3%;2%;3%;3%;6%;3%;5%;8%;2%;0%;3%;2%;.;3%;1%;2%;.;.
% voelt zich vaak onveilig algemeen [2021];4%;4%;2%;4%;4%;4%;5%;9%;6%;5%;7%;2%;3%;2%;2%;1%;0%;5%;2%;6%;3%;6%;2%;3%;7%;2%;2%;3%;3%;.;0%;2%;1%;.;.
