%  - Wijken;;;;;;;;;;;
;West;Noordwest;Overvecht;Noordoost;Oost;Binnenstad;Zuid;Zuidwest;Leidsche Rijn;Vleuten-De Meern;onbekend
% voelt zich wel eens onveilig algemeen [2008];41%;51%;51%;35%;36%;40%;46%;47%;38%;28%;.
% voelt zich wel eens onveilig algemeen [2009];46%;50%;54%;43%;44%;42%;46%;50%;36%;37%;.
% voelt zich wel eens onveilig algemeen [2010];45%;44%;49%;36%;32%;31%;40%;41%;32%;29%;.
% voelt zich wel eens onveilig algemeen [2011];40%;39%;45%;33%;34%;35%;38%;42%;35%;25%;.
% voelt zich wel eens onveilig algemeen [2012];42%;42%;53%;39%;39%;36%;44%;42%;38%;33%;.
% voelt zich wel eens onveilig algemeen [2013];48%;43%;47%;38%;33%;35%;39%;45%;38%;28%;.
% voelt zich wel eens onveilig algemeen [2014];44%;44%;52%;36%;30%;36%;45%;45%;31%;24%;.
% voelt zich wel eens onveilig algemeen [2015];45%;45%;54%;34%;33%;34%;40%;42%;32%;29%;.
% voelt zich wel eens onveilig algemeen [2016];42%;44%;55%;35%;31%;36%;43%;51%;32%;31%;.
% voelt zich wel eens onveilig algemeen [2017];42%;43%;49%;34%;32%;36%;44%;44%;29%;31%;
% voelt zich wel eens onveilig algemeen [2018];42%;42%;48%;28%;29%;40%;40%;42%;30%;30%;
% voelt zich wel eens onveilig algemeen [2019];45%;41%;49%;34%;32%;37%;45%;43%;35%;29%;.
% voelt zich wel eens onveilig algemeen [2021];42%;40%;46%;32%;34%;38%;44%;41%;33%;30%;.
% voelt zich wel eens onveilig algemeen [2023];47%;44%;51%;36%;39%;43%;47%;47%;36%;37%;
% voelt zich wel eens onveilig algemeen [2025];50%;49%;58%;42%;49%;55%;48%;50%;45%;41%;
% voelt zich vaak onveilig algemeen [2007];2%;5%;6%;1%;1%;1%;2%;6%;3%;2%;-
% voelt zich vaak onveilig algemeen [2008];4%;5%;7%;1%;1%;2%;3%;5%;2%;2%;.
% voelt zich vaak onveilig algemeen [2009];3%;6%;8%;2%;1%;1%;2%;5%;2%;1%;.
% voelt zich vaak onveilig algemeen [2010];5%;5%;7%;2%;1%;2%;2%;5%;2%;3%;.
% voelt zich vaak onveilig algemeen [2011];3%;4%;9%;2%;2%;1%;2%;5%;3%;2%;.
% voelt zich vaak onveilig algemeen [2012];3%;4%;10%;2%;2%;1%;4%;4%;1%;1%;.
% voelt zich vaak onveilig algemeen [2013];5%;3%;6%;2%;2%;2%;4%;4%;4%;1%;.
% voelt zich vaak onveilig algemeen [2014];5%;5%;10%;1%;2%;3%;4%;7%;3%;1%;.
% voelt zich vaak onveilig algemeen [2015];4%;4%;8%;2%;1%;1%;3%;6%;2%;2%;.
% voelt zich vaak onveilig algemeen [2016];5%;5%;8%;2%;1%;4%;3%;8%;1%;1%;.
% voelt zich vaak onveilig algemeen [2017];4%;5%;8%;1%;2%;1%;3%;5%;2%;2%;
% voelt zich vaak onveilig algemeen [2018];3%;3%;9%;1%;1%;3%;3%;5%;1%;2%;
% voelt zich vaak onveilig algemeen [2019];3%;3%;8%;2%;1%;2%;4%;5%;2%;2%;.
% voelt zich vaak onveilig algemeen [2021];3%;4%;7%;2%;1%;3%;5%;4%;2%;1%;.
% voelt zich vaak onveilig algemeen [2023];5%;4%;9%;2%;1%;3%;4%;5%;3%;3%;
% voelt zich vaak onveilig algemeen [2025];6%;7%;10%;3%;4%;10%;5%;8%;5%;5%;
% voelt zich wel eens onveilig in eigen buurt [2006];33%;36%;49%;18%;20%;31%;34%;44%;16%;16%;-
% voelt zich wel eens onveilig in eigen buurt [2007];31%;40%;45%;21%;21%;31%;30%;37%;16%;17%;-
% voelt zich wel eens onveilig in eigen buurt [2008];33%;43%;47%;23%;23%;31%;37%;42%;27%;19%;.
% voelt zich wel eens onveilig in eigen buurt [2009];36%;45%;52%;26%;25%;34%;35%;42%;24%;22%;.
% voelt zich wel eens onveilig in eigen buurt [2010];35%;37%;43%;22%;18%;25%;29%;34%;22%;16%;.
% voelt zich wel eens onveilig in eigen buurt [2011];31%;32%;41%;17%;19%;31%;30%;31%;25%;16%;.
% voelt zich wel eens onveilig in eigen buurt [2012];30%;35%;48%;25%;23%;31%;33%;37%;32%;20%;.
% voelt zich wel eens onveilig in eigen buurt [2013];40%;37%;44%;23%;21%;29%;32%;41%;29%;19%;.
% voelt zich wel eens onveilig in eigen buurt [2014];38%;40%;47%;27%;21%;28%;39%;41%;29%;17%;.
% voelt zich wel eens onveilig in eigen buurt [2015];40%;39%;50%;23%;22%;27%;34%;36%;26%;22%;.
% voelt zich wel eens onveilig in eigen buurt [2016];37%;40%;54%;25%;22%;33%;36%;43%;25%;25%;.
% voelt zich wel eens onveilig in eigen buurt [2017];34%;37%;48%;21%;19%;27%;38%;38%;21%;21%;
% voelt zich wel eens onveilig in eigen buurt [2018];35%;35%;44%;18%;15%;30%;35%;37%;22%;22%;
% voelt zich wel eens onveilig in eigen buurt [2019];38%;35%;46%;18%;21%;32%;36%;38%;24%;22%;.
% voelt zich wel eens onveilig in eigen buurt [2021];35%;32%;44%;21%;22%;33%;38%;38%;25%;22%;.
% voelt zich wel eens onveilig in eigen buurt [2023];39%;37%;47%;21%;24%;39%;42%;43%;28%;26%;
% voelt zich wel eens onveilig in eigen buurt [2025];40%;40%;52%;24%;25%;51%;40%;46%;35%;28%;
% voelt zich vaak onveilig in eigen buurt [2007];2%;5%;7%;1%;1%;0%;2%;7%;2%;2%;-
% voelt zich vaak onveilig in eigen buurt [2008];3%;4%;8%;1%;1%;1%;3%;5%;2%;1%;.
% voelt zich vaak onveilig in eigen buurt [2009];2%;6%;8%;1%;1%;1%;2%;5%;1%;1%;.
% voelt zich vaak onveilig in eigen buurt [2010];5%;5%;6%;1%;1%;1%;2%;5%;3%;2%;.
% voelt zich vaak onveilig in eigen buurt [2011];4%;4%;10%;1%;1%;1%;2%;6%;4%;2%;.
% voelt zich vaak onveilig in eigen buurt [2012];4%;4%;9%;2%;2%;2%;3%;4%;1%;1%;.
% voelt zich vaak onveilig in eigen buurt [2013];4%;4%;7%;1%;2%;2%;3%;6%;5%;1%;.
% voelt zich vaak onveilig in eigen buurt [2014];4%;6%;10%;2%;2%;3%;4%;6%;3%;1%;.
% voelt zich vaak onveilig in eigen buurt [2015];4%;4%;10%;1%;1%;2%;3%;6%;2%;2%;.
% voelt zich vaak onveilig in eigen buurt [2016];5%;5%;11%;2%;0%;4%;4%;9%;1%;2%;.
% voelt zich vaak onveilig in eigen buurt [2017];4%;5%;9%;1%;1%;1%;4%;5%;1%;2%;
% voelt zich vaak onveilig in eigen buurt [2018];3%;3%;10%;1%;0%;2%;3%;7%;2%;1%;
% voelt zich vaak onveilig in eigen buurt [2019];3%;3%;10%;2%;0%;2%;3%;6%;2%;1%;.
% voelt zich vaak onveilig in eigen buurt [2021];3%;5%;8%;2%;1%;4%;5%;5%;3%;1%;.
% voelt zich vaak onveilig in eigen buurt [2023];5%;5%;10%;1%;1%;3%;5%;6%;3%;2%;
% voelt zich vaak onveilig in eigen buurt [2025];6%;6%;12%;2%;2%;10%;6%;9%;4%;4%;
% vaak last van jongeren op straat in de buurt [2006];18%;24%;42%;12%;11%;25%;16%;40%;10%;11%;-
% vaak last van jongeren op straat in de buurt [2007];18%;28%;34%;13%;11%;22%;15%;32%;12%;10%;-
% vaak last van jongeren op straat in de buurt [2008];19%;25%;35%;8%;11%;23%;19%;34%;16%;13%;.
% vaak last van jongeren op straat in de buurt [2009];13%;18%;29%;10%;7%;17%;12%;23%;9%;6%;.
% vaak last van jongeren op straat in de buurt [2010];19%;25%;33%;13%;12%;21%;17%;31%;15%;10%;.
% vaak last van jongeren op straat in de buurt [2011];19%;20%;33%;14%;11%;30%;16%;30%;17%;11%;.
% vaak last van jongeren op straat in de buurt [2012];21%;23%;32%;16%;14%;24%;25%;30%;17%;10%;.
% vaak last van jongeren op straat in de buurt [2013];21%;22%;33%;13%;12%;25%;17%;29%;14%;11%;.
% vaak last van jongeren op straat in de buurt [2014];21%;27%;40%;15%;13%;29%;17%;37%;16%;9%;.
% vaak last van jongeren op straat in de buurt [2015];21%;24%;41%;12%;11%;25%;18%;31%;14%;10%;.
% vaak last van jongeren op straat in de buurt [2016];24%;30%;45%;10%;15%;27%;23%;34%;19%;13%;.
% vaak last van jongeren op straat in de buurt [2017];25%;24%;38%;11%;13%;22%;27%;33%;14%;10%;
% vaak last van jongeren op straat in de buurt [2018];25%;25%;32%;8%;14%;23%;24%;31%;12%;15%;
% vaak last van jongeren op straat in de buurt [2019];22%;21%;38%;7%;11%;25%;19%;29%;11%;12%;.
% vaak last van jongeren op straat in de buurt [2021];23%;25%;37%;14%;11%;29%;19%;29%;16%;18%;.
% vaak last van jongeren op straat in de buurt [2023];19%;20%;31%;10%;9%;25%;21%;27%;15%;13%;
% vaak last van jongeren op straat in de buurt [2025];19%;23%;39%;10%;10%;27%;20%;31%;23%;13%;
% vaak last van drugsgebruik of drugshandel in de buurt [2016];27%;15%;33%;8%;4%;20%;6%;15%;6%;3%;
% vaak last van drugsgebruik of drugshandel in de buurt [2017];28%;17%;26%;7%;5%;17%;13%;16%;5%;4%;
