geluidshinder totaal  - Subwijken;;;;;;;;;;;;;;;;;;;;;;;;
;[aantal] [2012];[aantal] [2013];[aantal] [2014];[aantal] [2015];[aantal] [2016];[aantal] [2017];[aantal] [2018];[aantal] [2019];[aantal] [2020];[aantal] [2021];[aantal] [2022];[aantal] [2023];[aantal] [2024];[aantal] [2025];per 1000 inw+arb [promillage] [2016];per 1000 inw+arb [promillage] [2017];per 1000 inw+arb [promillage] [2018];per 1000 inw+arb [promillage] [2019];per 1000 inw+arb [promillage] [2020];per 1000 inw+arb [promillage] [2021];per 1000 inw+arb [promillage] [2022];per 1000 inw+arb [promillage] [2023];per 1000 inw+arb [promillage] [2024];per 1000 inw+arb [promillage] [2025]
Oog in Al, Welgelegen;65;59;78;71;98;119;98;103;224;215;93;64;76;74;8,6;10;8,2;8,5;18,3;17,2;7,4;5;5,8;5,6
Lombok, Leidseweg;138;136;130;153;181;201;223;195;334;414;262;135;141;155;11,3;12,4;13,6;11,9;20,1;25,3;16,3;8,2;8,4;9,4
Nieuw Engeland, Schepenbrt;93;94;93;110;107;97;88;97;181;263;127;81;65;35;3,5;3,2;2,8;3,1;5,7;8;3,8;2,4;1,9;1
Pijlsweerd;72;73;100;75;121;99;98;86;129;216;163;69;47;30;14,4;11,7;10,9;9,4;13,9;22,7;17,1;7,2;4,8;3,1
Ondiep, 2e Daalsebrt;138;167;173;117;153;200;187;195;298;349;222;125;101;99;9,4;12,4;11,3;11,7;17,4;20,4;12,7;7;5,6;5,3
Zuilen-west;87;106;128;152;119;120;104;122;172;352;178;120;73;69;8,6;8,7;7,6;8,9;12,7;26,1;13,3;8,9;5,3;5,1
Zuilen-noord en -oost;141;145;106;138;102;121;110;172;215;233;119;102;94;131;7;8,1;7,3;11,2;13,6;14,8;7,6;6,4;5,9;8,1
Taagdreef, Wolgadreef;55;76;93;94;128;130;129;121;180;216;129;102;63;86;10,7;10,9;11,1;10,5;15,5;18,4;10,7;8,4;5,1;6,9
Zamenhofdreef, Neckardreef;62;50;72;71;111;141;152;266;254;233;133;89;86;82;10,7;13,8;14,3;25,4;24,2;22,2;12;7,7;7,3;6,8
Vechtzoom, Klopvaart;82;77;78;64;95;120;101;124;182;200;117;99;107;112;6,8;8,4;7,1;8,3;12,1;13,2;7,5;6,2;6,6;6,9
Zambesidreef, Tigrisdreef;66;97;90;112;130;142;114;153;212;223;148;100;79;140;11,8;12,9;10,4;13,8;19;20,1;13,9;9,2;7,2;12,7
Votulast;143;142;154;158;189;283;144;150;325;576;185;163;78;92;10,8;16,1;8,1;8,4;17,8;31,7;10,1;8,5;4,1;4,8
Tuindorp, Voordorp;67;73;78;78;69;96;73;82;176;206;119;52;77;48;4,4;5,9;4,3;4,7;9,8;11,3;6,4;2,7;4;2,5
Wittevrouwen, Zeeheldenbrt;78;128;91;137;156;175;140;103;204;343;156;97;92;61;10,7;12;9,5;7;13,8;23,4;10,6;6,6;6,1;4,1
Oudwijk, Buiten Wittevrouwen;53;80;107;112;113;126;111;108;170;403;148;98;54;69;7,1;7,9;6,9;6,8;10,7;25,7;9,3;6,1;3,3;4,2
Abstede, Gansstraat;107;107;100;96;175;262;206;134;233;389;185;157;119;115;11,5;17,6;13,8;8,9;15,5;25;11,9;9,7;7,1;6,8
Wilhelminapark, Rijnsweerd;59;45;70;68;76;99;128;110;254;446;153;92;157;46;1,4;1,8;2,2;1,9;4,3;7,4;2,5;1,4;2,4;0,7
Binnenstad city- en winkelgeb;202;182;194;228;299;302;231;204;287;471;279;220;150;167;6,5;6,6;4,7;3,8;5,2;8,5;4,8;3,4;2,2;2,3
Binnenstad woongebied;281;252;318;275;368;374;339;333;535;831;381;263;221;165;12,8;12,7;11,6;11,3;17,9;27,2;11,9;7,9;6,5;4,8
Lunetten;149;168;128;145;219;224;187;180;252;263;187;153;72;129;14,5;15;12,5;11,9;16,5;17,2;12,1;10;4,7;8,3
Oud Hoograven, Tolsteeg;35;64;57;53;55;78;71;90;168;251;118;55;35;51;5,1;7;6;7,2;13,1;19,6;9,4;4,3;2,7;4
Nieuw Hoograven, Bokkenbrt;68;72;51;67;80;66;76;68;138;142;79;54;75;83;10,4;8,7;10;8,8;17,6;18;10;6,5;8,6;9,2
Dichterswijk, Rivierenwijk;67;59;114;120;134;131;180;172;209;300;139;98;92;97;7,3;7,1;9,8;9,3;11,2;16,2;7,5;5,2;4,7;4,9
Transwijk;42;58;87;101;89;97;102;118;195;226;122;99;92;80;3,5;3,8;3,8;4,2;7,2;8,7;4,5;3,6;3,1;2,6
Kanaleneiland;165;201;253;234;279;247;242;182;365;372;266;201;207;129;13,4;12;11,7;8,6;17;16,4;11,4;8,4;8,5;5,4
Terwijde, De Wetering;44;35;31;39;65;45;43;45;109;103;43;46;58;65;3,8;2,5;2,3;2,4;5,5;5;2;2,1;2,6;2,9
Het Zand;19;19;35;27;30;28;29;34;81;116;86;99;42;66;3;2,6;2,5;2,9;6,7;9,4;6,8;7,2;3;4,6
Leidsche Rijn Centrum e.o;6;18;4;8;25;46;68;77;211;180;142;111;93;88;3,6;5,9;7,2;6,1;14,2;11,3;8;5,6;4,1;3,7
Parkwijk, Langerak;56;43;48;36;56;39;62;38;84;117;66;50;47;41;3,9;2,7;4,3;2,6;5,8;8,4;4,8;3,5;3,3;2,8
Leidsche Rijn-zuid;4;4;2;2;5;0;1;7;5;14;14;6;2;6;0,4;0;0,1;0,4;0,3;0,7;0,7;0,3;0,1;0,2
Vleuten, Haarzuilens;55;38;33;24;34;39;31;62;71;118;79;72;58;30;3,2;3,5;2,7;5,2;5,7;8,8;5,7;5,1;4,1;2,1
Veldhuizen, Vleuterweide;73;78;102;79;117;104;103;95;160;170;142;104;63;94;3,8;3,3;3,2;2,9;4,9;5,2;4,4;3,2;1,9;2,9
De Meern;24;46;45;51;58;75;74;60;75;72;92;46;41;24;2,6;3,3;3,2;2,5;3;2,8;3,4;1,7;1,5;0,9
Rijnenburg;0;1;3;0;2;0;0;1;0;7;1;1;0;1;.;.;.;.;.;.;.;.;.;.
