geluidshinder totaal  - Wijken;;;;;;;;;;;;;;;;;;;;;;;;
;[aantal] [2012];[aantal] [2013];[aantal] [2014];[aantal] [2015];[aantal] [2016];[aantal] [2017];[aantal] [2018];[aantal] [2019];[aantal] [2020];[aantal] [2021];[aantal] [2022];[aantal] [2023];[aantal] [2024];[aantal] [2025];per 1000 inw+arb [promillage] [2016];per 1000 inw+arb [promillage] [2017];per 1000 inw+arb [promillage] [2018];per 1000 inw+arb [promillage] [2019];per 1000 inw+arb [promillage] [2020];per 1000 inw+arb [promillage] [2021];per 1000 inw+arb [promillage] [2022];per 1000 inw+arb [promillage] [2023];per 1000 inw+arb [promillage] [2024];per 1000 inw+arb [promillage] [2025]
Leidsche Rijn;129;119;120;112;181;158;203;201;490;530;351;312;242;266;3;2,5;3;2,7;6,3;6,5;4,1;3,4;2,5;2,7
Vleuten-De Meern;152;163;183;154;211;218;208;218;306;367;314;223;162;149;3,3;3,3;3,1;3,2;4,3;5,1;4,3;3;2,2;2
Zuid;252;304;236;265;354;368;334;338;558;656;384;262;182;263;10,5;10,9;9,7;9,5;15,5;18,2;10,7;7,2;4,9;7
Oost;219;232;277;276;364;487;445;352;657;1238;486;347;330;230;4,2;5,6;5;3,9;7,3;13,6;5,2;3,6;3,3;2,3
West;296;289;301;334;386;417;409;395;739;892;482;280;282;264;6,7;7,2;6,9;6,7;12,2;14,5;7,7;4,4;4,4;4,2
Noordoost;288;343;323;373;414;554;357;335;705;1125;460;312;247;201;8,6;11,4;7,2;6,7;13,8;22;8,9;5,9;4,6;3,8
Overvecht;265;300;333;341;464;533;496;664;828;872;527;390;335;420;9,8;11,2;10,5;13,8;17,1;17,9;10,6;7,7;6,6;8,1
Zuidwest;274;318;454;455;502;475;524;472;769;898;527;398;391;306;7,8;7,4;7,9;7;11,4;13,3;7,6;5,6;5,3;4,1
Noordwest;438;491;507;482;495;540;499;575;814;1150;682;416;315;329;9,3;10,2;9,2;10,5;14,6;20,6;12,2;7,3;5,5;5,7
Binnenstad;483;434;512;503;667;676;570;537;822;1302;660;483;371;332;9;8,9;7,3;6,4;9,6;15,1;7,3;4,9;3,6;3,1
