"Subwijken";"geweld: totaal per 1000 inw+arb|2016";"geweld: totaal per 1000 inw+arb|2017";"geweld: totaal per 1000 inw+arb|2018";"geweld: totaal per 1000 inw+arb|2019";"geweld: totaal per 1000 inw+arb|2020";"geweld: totaal per 1000 inw+arb|2021";"geweld: totaal per 1000 inw+arb|2022";"geweld: totaal per 1000 inw+arb|2023";"geweld: totaal per 1000 inw+arb|2024";"geweld: totaal per 1000 inw+arb|2025"
"Oog in Al, Welgelegen";4,1;2,4;4,1;4,1;4,4;2,5;3,2;1,9;2,1;3,5
"Lombok, Leidseweg";4,7;2,2;4,4;4,3;4,3;3,2;3,6;3,5;2,9;4,0
"Nieuw Engeland, Schepenbrt";1,5;1,3;1,7;2,3;1,2;1,2;1,1;1,0;1,3;1,0
"Pijlsweerd";4,9;3,1;4,0;2,6;2,8;2,2;2,5;2,9;3,1;2,1
"Ondiep, 2e Daalsebrt";3,2;4,0;3,6;4,7;3,1;3,7;3,4;1,9;2,7;3,6
"Zuilen-west";4,4;3,2;2,5;3,0;2,3;2,4;2,8;2,2;2,6;3,0
"Zuilen-noord en -oost";2,8;4,4;3,6;3,2;3,9;3,5;4,1;2,4;2,1;3,1
"Taagdreef, Wolgadreef";6,1;4,9;4,6;6,5;6,2;3,9;4,2;4,0;4,0;4,0
"Zamenhofdreef, Neckardreef";5,8;7,5;8,2;7,0;7,0;5,0;4,3;4,3;5,6;6,2
"Vechtzoom, Klopvaart";5,2;4,3;4,8;5,6;5,6;3,7;3,8;3,3;3,8;4,7
"Zambesidreef, Tigrisdreef";6,2;6,2;6,7;6,0;7,2;5,7;5,2;4,2;4,6;5,3
"Votulast";4,0;3,2;2,8;3,7;2,7;3,0;3,2;2,5;2,6;2,6
"Tuindorp, Voordorp";2,2;2,7;1,8;2,3;1,9;2,3;2,0;1,8;1,7;2,7
"Wittevrouwen, Zeeheldenbrt";1,5;1,6;1,9;1,4;1,6;1,6;1,8;1,4;1,3;1,8
"Oudwijk, Buiten Wittevrouwen";1,5;1,4;1,8;2,0;1,9;1,5;1,5;1,1;1,1;1,2
"Abstede, Gansstraat";5,1;3,2;3,9;3,1;3,2;3,3;2,8;3,2;3,1;2,3
"Wilhelminapark, Rijnsweerd";0,8;0,9;0,9;1,0;0,9;0,7;0,9;0,8;0,7;0,9
"Binnenstad city- en winkelgeb";8,4;7,2;6,2;5,4;4,3;4,0;6,2;5,3;5,1;5,4
"Binnenstad woongebied";8,1;9,5;7,9;7,1;6,3;5,3;6,8;6,4;6,6;6,2
"Lunetten";4,2;4,1;3,3;3,1;4,3;3,3;3,4;3,6;4,0;2,5
"Oud Hoograven, Tolsteeg";2,1;3,9;1,8;2,1;1,8;1,9;1,6;0,8;1,9;2,3
"Nieuw Hoograven, Bokkenbrt";6,0;4,1;4,9;3,2;5,2;3,2;1,9;3,2;4,0;4,9
"Dichterswijk, Rivierenwijk";2,8;3,0;2,3;2,7;2,3;2,3;2,1;2,2;2,4;2,5
"Transwijk";2,8;1,7;2,9;2,4;2,4;2,2;1,7;2,3;1,8;2,3
"Kanaleneiland";5,8;4,7;4,5;4,2;4,3;4,7;3,9;4,4;3,7;4,2
"Terwijde, De Wetering";2,7;2,7;2,4;2,3;2,4;2,3;1,6;1,1;1,6;2,2
"Het Zand";2,5;1,9;2,7;2,4;1,2;1,5;2,8;1,6;2,3;3,1
"Leidsche Rijn Centrum e.o";2,1;2,2;3,4;2,7;2,4;1,6;2,1;2,9;2,3;2,6
"Parkwijk, Langerak";3,5;2,2;2,7;2,7;2,6;2,5;2,7;1,6;3,1;2,2
"Leidsche Rijn-zuid";0,4;0,8;0,3;0,3;0,1;0,4;0,2;0,2;0,1;0,2
"Vleuten, Haarzuilens";3,5;2,3;3,4;3,5;1,7;2,2;2,1;2,7;3,4;2,7
"Veldhuizen, Vleuterweide";2,4;1,6;2,0;2,4;2,9;2,2;1,6;1,8;1,8;2,2
"De Meern";1,6;2,0;1,8;1,5;2,1;1,5;1,5;1,6;1,5;1,2
"Rijnenburg";".";".";".";".";".";".";".";".";".";"."
