"Wijken";"geweld: totaal per 1000 inw+arb|2016";"geweld: totaal per 1000 inw+arb|2017";"geweld: totaal per 1000 inw+arb|2018";"geweld: totaal per 1000 inw+arb|2019";"geweld: totaal per 1000 inw+arb|2020";"geweld: totaal per 1000 inw+arb|2021";"geweld: totaal per 1000 inw+arb|2022";"geweld: totaal per 1000 inw+arb|2023";"geweld: totaal per 1000 inw+arb|2024";"geweld: totaal per 1000 inw+arb|2025"
"West";2,9;1,8;2,9;3,2;2,7;2,0;2,2;1,8;1,9;2,3
"Noordwest";3,7;3,8;3,4;3,5;3,1;3,1;3,3;2,3;2,6;3,0
"Overvecht";5,8;5,6;6,0;6,2;6,4;4,5;4,3;3,9;4,4;5,0
"Noordoost";2,7;2,6;2,2;2,5;2,1;2,3;2,3;1,9;1,9;2,4
"Oost";1,7;1,4;1,6;1,5;1,5;1,3;1,3;1,3;1,2;1,2
"Binnenstad";8,3;8,1;6,8;6,0;5,0;4,4;6,4;5,7;5,6;5,6
"Zuid";3,9;4,1;3,1;2,8;3,6;2,7;2,4;2,5;3,3;3,0
"Zuidwest";3,8;3,0;3,2;3,1;3,0;3,1;2,5;3,0;2,6;3,0
"Leidsche Rijn";2,4;2,0;2,2;2,0;1,8;1,6;1,7;1,4;1,7;1,9
"Vleuten-De Meern";2,4;2,0;2,3;2,4;2,6;2,1;1,7;2,0;2,1;2,1
